,q,p
0,23.372078384784913,4.77
1,25.30066857349928,4.67
2,23.75779642252779,4.75
3,23.95065544139922,4.74
4,26.072104648985032,4.63
5,27.422117781085106,4.56
6,26.843540724470785,4.59
7,23.75779642252779,4.75
8,23.75779642252779,4.75
9,28.77213091318515,4.49
10,30.315003064156656,4.41
11,32.05073423399958,4.32
12,25.10780955462785,4.68
13,25.49352759237071,4.66
14,30.12214404528521,4.42
15,24.529232498013528,4.71
16,25.49352759237071,4.66
17,29.350707969799473,4.46
18,31.27929815851384,4.36
19,29.157848950928027,4.47
20,29.92928502641378,4.43
21,30.507862083028087,4.4
22,26.457822686727894,4.61
23,36.486491668042646,4.09
24,43.42941634741439,3.73
25,40.34367204547139,3.89
26,31.472157177385284,4.35
27,41.30796713982858,3.84
28,41.886544196442884,3.81
29,42.27226223418576,3.79
